Display,statement_set,statement,statement_id,repetitions
Display 1,5,"The diameter of the moon is 2,160 miles",33,1
Display 1,5,Aconcagua is the tallest mountain in South America,34,1
Display 1,5,The bandicoot is a marsupial animal of Australia,35,1
Display 1,5,Nina Kuscsik was the first women's winner of the Boston Marathon,36,1
Display 1,5,"One carat, used to weigh stones, equals exactly 200 milligrams",37,1
Display 1,5,The longest fangs of any snake are those of the Gaboon Viper,38,1
Display 1,5,The refrigerator was invented in 1748 by William Cullen,39,1
Display 1,5,The Danube is the second longest river in Europe,40,1
Display 1,6,Sir Mark Brunel constructed the Thames Tunnel in London,41,9
Display 1,6,Sir Mark Brunel constructed the Thames Tunnel in London,41,9
Display 1,6,Sir Mark Brunel constructed the Thames Tunnel in London,41,9
Display 1,6,Sir Mark Brunel constructed the Thames Tunnel in London,41,9
Display 1,6,Sir Mark Brunel constructed the Thames Tunnel in London,41,9
Display 1,6,Sir Mark Brunel constructed the Thames Tunnel in London,41,9
Display 1,6,Sir Mark Brunel constructed the Thames Tunnel in London,41,9
Display 1,6,Sir Mark Brunel constructed the Thames Tunnel in London,41,9
Display 1,6,Sir Mark Brunel constructed the Thames Tunnel in London,41,9
Display 1,6,"Like the kangaroo, the Tasmanian Devil also has a pouch",42,9
Display 1,6,"Like the kangaroo, the Tasmanian Devil also has a pouch",42,9
Display 1,6,"Like the kangaroo, the Tasmanian Devil also has a pouch",42,9
Display 1,6,"Like the kangaroo, the Tasmanian Devil also has a pouch",42,9
Display 1,6,"Like the kangaroo, the Tasmanian Devil also has a pouch",42,9
Display 1,6,"Like the kangaroo, the Tasmanian Devil also has a pouch",42,9
Display 1,6,"Like the kangaroo, the Tasmanian Devil also has a pouch",42,9
Display 1,6,"Like the kangaroo, the Tasmanian Devil also has a pouch",42,9
Display 1,6,"Like the kangaroo, the Tasmanian Devil also has a pouch",42,9
Display 1,6,A Jupiter day is 10 earth hours long,43,9
Display 1,6,A Jupiter day is 10 earth hours long,43,9
Display 1,6,A Jupiter day is 10 earth hours long,43,9
Display 1,6,A Jupiter day is 10 earth hours long,43,9
Display 1,6,A Jupiter day is 10 earth hours long,43,9
Display 1,6,A Jupiter day is 10 earth hours long,43,9
Display 1,6,A Jupiter day is 10 earth hours long,43,9
Display 1,6,A Jupiter day is 10 earth hours long,43,9
